nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
328,22045,1,11254,142901,"RING",3,15436,27369,"1",
329,22078,1,11254,142901,"RING",3,15436,27369,"1",
330,22111,1,11254,142901,"RING",3,15436,27369,"1",
331,22144,1,11254,142901,"RING",3,15436,27369,"1",
332,22177,1,11254,142901,"RING",3,15436,27369,"1",
333,22210,1,11254,142901,"RING",3,15436,27369,"1",
334,22243,1,11254,142901,"RING",3,15436,27369,"1",
335,22276,1,11254,142901,"RING",3,15436,27369,"1",
336,22309,1,11254,142901,"RING",3,15436,27369,"1",
337,22342,1,11254,142901,"RING",3,15436,27369,"1",
338,22375,1,11254,142901,"RING",3,15436,27369,"1",
339,22408,1,11254,142901,"RING",3,15436,27369,"1",
340,22441,1,11254,142901,"RING",3,15436,27369,"1",
341,22474,1,11254,142901,"RING",3,15436,27369,"1",
342,22507,1,11254,142901,"RING",3,15436,27369,"1",
343,22540,1,11254,142901,"RING",3,15436,27369,"1",
344,22573,1,11254,142901,"RING",3,15436,27369,"1",
345,22606,1,11254,142901,"RING",3,15436,27369,"1",
346,22639,1,11254,142901,"RING",3,15436,27369,"1",
347,22672,1,11254,142901,"RING",3,15436,27369,"1",
348,22705,1,11254,142901,"RING",3,15436,27369,"1",
349,22738,1,11254,142901,"RING",3,15436,27369,"1",
350,22771,1,11254,142901,"RING",3,15436,27369,"1",
351,22804,1,11254,142901,"RING",3,15436,27369,"1",
352,22837,1,11254,142901,"RING",3,15436,27369,"1",
353,22870,1,11254,142901,"RING",3,15436,27369,"1",
354,22903,1,11254,142901,"RING",3,15436,27369,"1",
355,22936,1,11254,142901,"RING",3,15436,27369,"1",
356,22969,1,11254,142901,"RING",3,15436,27369,"1",
357,23002,1,11254,142901,"RING",3,15436,27369,"1",
358,23035,1,11254,142901,"RING",3,15436,27369,"1",
359,23068,1,11254,142901,"RING",3,15436,27369,"1",
360,23101,1,11254,142901,"RING",3,15436,27369,"1",
361,23134,1,11254,142901,"RING",3,15436,27369,"1",
362,23167,1,11254,142901,"RING",3,15436,27369,"1",
363,23200,1,11254,142901,"RING",3,15436,27369,"1",
364,23233,1,11254,142901,"RING",3,15436,27369,"1",
365,23266,1,11254,142901,"RING",3,15436,27369,"1",
366,23299,1,11254,142901,"RING",3,15436,27369,"1",
367,23332,1,11254,142901,"RING",3,15436,27369,"1",
368,23365,1,11254,142901,"RING",3,15436,27369,"1",
369,23398,1,11254,142901,"RING",3,15436,27369,"1",
370,23431,1,11254,142901,"RING",3,15436,27369,"1",
371,23464,1,11254,142901,"RING",3,15436,27369,"1",
372,23497,1,11254,142901,"RING",3,15436,27369,"1",
373,23530,1,11254,142901,"RING",3,15436,27369,"1",
374,23563,1,11254,142901,"RING",3,15436,27369,"1",
375,23596,1,11254,142901,"RING",3,15436,27369,"1",
376,23629,1,11254,142901,"RING",3,15436,27369,"1",
377,23662,1,11254,142901,"RING",3,15436,27369,"1",
378,23695,1,11254,142901,"RING",3,15436,27369,"1",
379,23728,1,11254,142901,"RING",3,15436,27369,"1",
380,23761,1,11254,142901,"RING",3,15436,27369,"1",
381,23794,1,11254,142901,"RING",3,15436,27369,"1",
382,23827,1,11254,142901,"RING",3,15436,27369,"1",
383,23860,1,11254,142901,"RING",3,15436,27369,"1",
384,23893,1,11254,142901,"RING",3,15436,27369,"1",
385,23926,1,11254,142901,"RING",3,15436,27369,"1",
386,23959,1,11254,142901,"RING",3,15436,27369,"1",
387,23992,1,11254,142901,"RING",3,15436,27369,"1",
388,24025,1,11254,142901,"RING",3,15436,27369,"1",
389,24058,1,11254,142901,"RING",3,15436,27369,"1",
390,24091,1,11254,142901,"RING",3,15436,27369,"1",
391,24124,1,11254,142901,"RING",3,15436,27369,"1",
392,24157,1,11254,142901,"RING",3,15436,27369,"1",
393,24190,1,11254,142901,"RING",3,15436,27369,"1",
394,24223,1,11254,142901,"RING",3,15436,27369,"1",
395,24256,1,11254,142901,"RING",3,15436,27369,"1",
396,24289,1,11254,142901,"RING",3,15436,27369,"1",
397,24322,1,11254,142901,"RING",3,15436,27369,"1",
398,24355,1,11254,142901,"RING",3,15436,27369,"1",
399,24388,1,11254,142901,"RING",3,15436,27369,"1",
400,24421,1,11254,142901,"RING",3,15436,27369,"1",
401,24454,1,11254,142901,"RING",3,15436,27369,"1",
402,24487,1,11254,142901,"RING",3,15436,27369,"1",
403,24520,1,11254,142901,"RING",3,15436,27369,"1",
404,24553,1,11254,142901,"RING",3,15436,27369,"1",
405,24586,1,11254,142901,"RING",3,15436,27369,"1",
406,24619,1,11254,142901,"RING",3,15436,27369,"1",
407,24652,1,11254,142901,"RING",3,15436,27369,"1",
408,24685,1,11254,142901,"RING",3,15436,27369,"1",
409,24718,1,11254,142901,"RING",3,15436,27369,"1",
410,24751,1,11254,142901,"RING",3,15436,27369,"1",
411,24784,1,11254,142901,"RING",3,15436,27369,"1",
412,24817,1,11254,142901,"RING",3,15436,27369,"1",
413,24850,1,11254,142901,"RING",3,15436,27369,"1",
414,24883,1,11254,142901,"RING",3,15436,27369,"1",
415,24916,1,11254,142901,"RING",3,15436,27369,"1",
416,24949,1,11254,142901,"RING",3,15436,27369,"1",
417,24982,1,11254,142901,"RING",3,15436,27369,"1",
418,25015,1,11254,142901,"RING",3,15436,27369,"1",
419,25048,1,11254,142901,"RING",3,15436,27369,"1",
420,25081,1,11254,142901,"RING",3,15436,27369,"1",
421,25114,1,11254,142901,"RING",3,15436,27369,"1",
422,25147,1,11254,142901,"RING",3,15436,27369,"1",
423,25180,1,11254,142901,"RING",3,15436,27369,"1",
424,25213,1,11254,142901,"RING",3,15436,27369,"1",
425,25246,1,11254,142901,"RING",3,15436,27369,"1",
426,25279,1,11254,142901,"RING",3,15436,27369,"1",
427,25312,1,11254,142901,"RING",3,15436,27369,"1",
428,25345,1,11254,142901,"RING",3,15436,27369,"1",
429,25378,1,11254,142901,"RING",3,15436,27369,"1",
430,25411,1,11254,142901,"RING",3,15436,27369,"1",
431,25444,1,11254,142901,"RING",3,15436,27369,"1",
432,25477,1,11254,142901,"RING",3,15436,27369,"1",
433,25510,1,11254,142901,"RING",3,15436,27369,"1",
434,25543,1,11254,142901,"RING",3,15436,27369,"1",
435,25576,1,11254,142901,"RING",3,15436,27369,"1",
436,25609,1,11254,142901,"RING",3,15436,27369,"1",
437,25642,1,11254,142901,"RING",3,15436,27369,"1",
438,25675,1,11254,142901,"RING",3,15436,27369,"1",
439,25708,1,11254,142901,"RING",3,15436,27369,"1",
440,25741,1,11254,142901,"RING",3,15436,27369,"1",
441,25774,1,11254,142901,"RING",3,15436,27369,"1",
442,25807,1,11254,142901,"RING",3,15436,27369,"1",
443,25840,1,11254,142901,"RING",3,15436,27369,"1",
444,25873,1,11254,142901,"RING",3,15436,27369,"1",
445,25906,1,11254,142901,"RING",3,15436,27369,"1",
446,25939,1,11254,142901,"RING",3,15436,27369,"1",
447,25972,1,11254,142901,"RING",3,15436,27369,"1",
448,26005,1,11254,142901,"RING",3,15436,27369,"1",
449,26038,1,11254,142901,"RING",3,15436,27369,"1",
450,26071,1,11254,142901,"RING",3,15436,27369,"1",
451,26104,1,11254,142901,"RING",3,15436,27369,"1",
452,26137,1,11254,142901,"RING",3,15436,27369,"1",
